date,market_group,arrivals,index_2019
2024-04-01,North Asia,32513,44.11009547713128
2024-04-01,Oceania,109804,101.64190122673973
2024-04-01,Other,1473153,84.32991324452263
2024-04-01,Total,1343319,84.32629476769637
2024-05-01,ASEAN,424360,78.22579319610476
2024-05-01,Americas,92182,92.48929568491312
2024-05-01,Europe,196672,72.91923949767423
2024-05-01,Greater China,247840,71.7316603792607
2024-05-01,North Asia,39143,53.104957009852974
2024-05-01,Oceania,92396,85.52789612168814
2024-05-01,Other,1461291,83.65087893450422
2024-05-01,Total,1277160,80.17319089919155
2024-06-01,ASEAN,443414,81.73817481444432
2024-06-01,Americas,90333,90.63413190324854
2024-06-01,Europe,154075,57.12573129679952
2024-06-01,Greater China,243160,70.37714064646963
2024-06-01,North Asia,33984,46.105787983109195
2024-06-01,Oceania,102756,95.1178026524978
2024-06-01,Other,1432058,81.97745034027326
2024-06-01,Total,1250293,78.48662608359399
2024-07-01,ASEAN,465811,85.86679930830132
2024-07-01,Americas,100168,100.50191762129677
2024-07-01,Europe,254992,94.542297419007
2024-07-01,Greater China,450165,130.29003750254154
2024-07-01,North Asia,51274,69.56297590177557
2024-07-01,Oceania,123842,114.63640970931752
2024-07-01,Other,1758763,100.67951611792961
2024-07-01,Total,1602603,100.60274065474731
2024-08-01,ASEAN,390876,72.05341017372194
2024-08-01,Americas,84424,84.70543380381316
2024-08-01,Europe,328854,121.92779646196794
2024-08-01,Greater China,442274,128.00616673086324
2024-08-01,North Asia,81914,111.13198907863719
2024-08-01,Oceania,97029,89.81650972759945
2024-08-01,Other,1654252,94.69683572892839
2024-08-01,Total,1539828,96.66206598697134
2024-09-01,ASEAN,410631,75.69501292749008
2024-09-01,Americas,81885,82.15796985484272
2024-09-01,Europe,229536,85.10408475704803
2024-09-01,Greater China,245145,70.95165382373251
2024-09-01,North Asia,57914,78.57140434480303
2024-09-01,Oceania,126722,117.30232967155032
2024-09-01,Other,1389461,79.53900619056381
2024-09-01,Total,1270681,79.76647435323343
2024-10-01,ASEAN,435982,80.36817270530715
2024-10-01,Americas,89419,89.71708501496222
2024-10-01,Europe,229977,85.26759244811983
2024-10-01,Greater China,261607,75.71620592655445
2024-10-01,North Asia,51921,70.44075499855852
2024-10-01,Oceania,114938,106.39427382608113
2024-10-01,Other,1445108,82.72449112140123
2024-10-01,Total,1314493,82.51675453713787
2024-11-01,ASEAN,430243,79.31025530698392
2024-11-01,Americas,111005,111.3750435823022
2024-11-01,Europe,243664,90.34226312317611
2024-11-01,Greater China,201091,58.20122384330985
2024-11-01,North Asia,44439,60.289992707785714
2024-11-01,Oceania,103012,95.35477331580738
2024-11-01,Other,1335906,76.47327676272407
2024-11-01,Total,1234698,77.50765640706724
2024-12-01,ASEAN,519755,95.81074357300741
2024-12-01,Americas,104062,104.40889856548381
2024-12-01,Europe,235335,87.25415527978137
2024-12-01,Greater China,220213,63.73565254639338
2024-12-01,North Asia,43091,58.461173198568694
2024-12-01,Oceania,135359,125.29731255828807
2024-12-01,Other,1523442,87.20868212131533
2024-12-01,Total,1390641,87.29691375022914
